"codestate","codecounty","county","population","area"
"01","01001","Auta#%&()uga ","  54,571 ","  594.436 "
"01","01003","Baldwin#%&()  ?     ","  182,265 ","  1,589.784 "
"01","01005","Barbour ","  27,457 ","  884.876 "
"01","01007","Bi#%&()bb ","  22,915 ","  622.582 "
"01","01009","Blount  ?     ","  57,322 ","  644.776 "
"01","01011","Bull#%&()ock ","  10,914 ","  622.805 "
"01","01013","   ; Butler ","  20,947 ","  776.829 "
"01","01015","Calhoun ","  118,572 ","  605.868 "
"01","01017","   ; Chambers  ?     ","  34,215 ","  596.531 "
"01","01019","Cherokee ","  25,989 ","  553.700 "
"01","01021","   ; Chilton ","  43,643 ","  692.854 "
"01","01023","Choctaw ","  13,859 ","  913.500 "
"01","01025","Clarke ","  25,833 ","  1,238.465 "
"01","01027","   ; Cla#%&()y  ?     ","  13,932 ","  603.961 "
"01","01029","Cleburne ","  14,972 ","  560.100 "
"01","01031","Coffee #%&() ?     ","  49,948 ","  678.972 "
"01","01033","Colbert ","  54,428 ","  592.619 "
"01","01035","   ; Conecuh ","  13,228 ","  850.156 "
"01","01037","Coo#%&()sa ","  11,539 ","  650.926 "
"01","01039","   ; Co#%&()vington ","  37,765 ","  1,030.456 "
"01","01041","Crenshaw ","  13,906 ","  608.840 "
"01","01043","Cullma_n ","  80,406 ","  734.841 "
"01","01045","Dale  ?     ","  50,251 ","  561.150 "
"01","01047","   ; Dallas ","  43,820 ","  978.695 "
"01","01049","   ; DeKalb ","  71,109 ","  777.093 "
"01","01051","Elm#%&()ore ","  79,303 ","  618.485 "
"01","01053","Escambia ","  38,319 ","  945.080 "
"01","01055","Etowah  ?     ","  104,430 ","  534.991 "
"01","01057","   ; F#%&()ayette ","  17,241 ","  627.660 "
"01","01059","Fra_n#%&()klin ","  31,704 ","  633.821 "
"01","01061","Geneva  ?     ","  26,790 ","  574.408 "
"01","01063","Greene ","  9,045 ","  647.110 "
"01","01065","Hale ","  15,760 ","  643.943 "
"01","01067","   ; #%&()Henry ","  17,302 ","  561.750 "
"01","01069","Houston ","  101,547 ","  579.824 "
"01","01071","Jackson ","  53,227 ","  1,077.868 "
"01","01073","Jeffe#%&()rson ","  658,466 ","  1,111.276 "
"01","01075","Lam#%&()ar ","  14,564 ","  604.846 "
"01","01077","La_uderda_le  ?     ","  92,709 ","  667.697 "
"01","01079","Lawrence ","  34,339 ","  690.678 "
"01","01081","Lee ","  140,247 ","  607.536 "
"01","01083","Limestone ","  82,782 ","  559.936 "
"01","01085","Lowndes  ?     ","  11,299 ","  715.911 "
"01","01087","Ma_con ","  21,452 ","  608.885 "
"01","01089","Madison  ?     ","  334,811 ","  801.593 "
"01","01091","   ; Marengo ","  21,027 ","  976.882 "
"01","01093","Marion ","  30,776 ","  742.292 "
"01","01095","Marshall ","  93,019 ","  565.842 "
"01","01097","Mob#%&()ile ","  412,992 ","  1,229.435 "
"01","01099","Mon#%&()roe ","  23,068 ","  1,025.675 "
"01","01101","Montgomery  ?     ","  229,363 ","  784.247 "
"01","01103","Morgan ","  119,490 ","  579.337 "
"01","01105","Perry ","  10,591 ","  719.664 "
"01","01107","Pickens#%&()  ?     ","  19,746 ","  881.408 "
"01","01109","Pike ","  32,899 ","  672.094 "
"01","01111","Randolph#%&()  ?     ","  22,913 ","  580.550 "
"01","01113","Russell ","  52,947 ","  641.140 "
"01","01115","St. C#%&()lair ","  83,593 ","  631.902 "
"01","01117","   ; Shelby  ?     ","  195,085 ","  784.930 "
"01","01119","Sumter ","  13,763 ","  903.887 "
"01","01121","Ta_lla_dega_ ","  82,291 ","  736.775 "
"01","01123","Ta_lla_poosa_ ","  41,616 ","  716.521 "
"01","01125","Tuscaloosa ","  194,656 ","  1,321.755 "
"01","01127","Walker  ?     ","  67,023 ","  791.192 "
"01","01129","Washington ","  17,581 ","  1,080.207 "
"01","01131","   ; Wilcox  ?     ","  11,670 ","  888.498 "
"01","01133","   ; W#%&()inston ","  24,484 ","  612.979 "
"02","02013","Aleutians East ","  3,141 ","  6,981.943 "
"02","02016","Aleutians West  ?     ","  5,561 ","  4,390.276 "
"02","02020","Anchorage Municipality","  291,826 ","  1,704.683 "
"02","02050","Bethel ","  17,013 ","  40,570.004 "
"02","02060","Bristol Bay ","  997 ","  503.843 "
"02","02068","Den#%&()a_li ","  1,826 ","  12,751.411 "
"02","02070","Dilli#%&()ngham ","  4,847 ","  18,568.778 "
"02","02090","Fairbanks North Star ","  97,581 ","  7,338.209 "
"02","02100","Haines ","  2,508 ","  2,318.600 "
"02","02105","Hoonah-#%&()Angoon ","  2,150 ","  7,524.915 "
"02","02110","   ; Junea_u City","  31,275 ","  2,701.931 "
"02","02122","Kenai Peninsula ","  55,400 ","  16,075.331 "
"02","02130","Ketchika_n Ga_tewa_y ","  13,477 ","  4,858.414 "
"02","02150","Kodiak Island ","  13,592 ","  6,549.579 "
"02","02164","   ; Lake and Peninsula ","  1,631 ","  23,652.009 "
"02","02170","Matanuska-Susitna ","  88,995 ","  24,607.898 "
"02","02180","Nome ","  9,492 ","  22,961.761 "
"02","02185","North Slope  ?     ","  9,430 ","  88,695.413 "
"02","02188","Northwes#%&()t Arctic ","  7,523 ","  35,572.584 "
"02","02195","Petersburg ","  3,815 ","  3,281.982 "
"02","02198","   ; Prince of Wa_les-Hyder ","  5,559 ","  3,922.873 "
"02","02220","Sitka City","  8,881 ","  2,870.339 "
"02","02230","Skagway Municipality","  968 ","  452.325 "
"02","02240","Southeast Fairbanks  ?     ","  7,029 ","  24,768.808 "
"02","02261","Va_ldez-Cordova_ ","  9,636 ","  34,239.880 "
"02","02270","   ; Wade Hampton ","  7,459 ","  17,081.433 "
"02","02275","Wrangell City","  2,369 ","  2,541.483 "
"02","02282","   ; Yakutat City","  662 ","  7,649.457 "
"02","02290","Yukon-Koyu#%&()kuk  ?     ","  5,588 ","  145,504.789 "
"04","04001","Apache  ?     ","  71,518 ","  11,197.521 "
"04","04003","Cochise ","  131,346 ","  6,165.690 "
"04","04005","Coconino ","  134,421 ","  18,618.885 "
"04","04007","Gila_ ","  53,597 ","  4,757.933 "
"04","04009","Gra#%&()ham ","  37,220 ","  4,622.597 "
"04","04011","Greenlee  ?     ","  8,437 ","  1,843.126 "
"04","04012","La Paz ","  20,489 ","  4,499.629 "
"04","04013","Maricopa ","  3,817,117 ","  9,200.143 "
"04","04015","   ; M#%&()ohave ","  200,186 ","  13,311.084 "
"04","04017","   ; Navajo ","  107,449 ","  9,950.422 "
"04","04019","Pima ","  980,263 ","  9,187.036 "
"04","04021","   ; Pinal ","  375,770 ","  5,365.612 "
"04","04023","   ; San#%&()ta Cruz ","  47,420 ","  1,236.916 "
"04","04025","Yavapai#%&()  ?     ","  211,033 ","  8,123.499 "
"04","04027","Yuma  ?     ","  195,751 ","  5,513.992 "
"05","05001","Arka#%&()nsas ","  19,019 ","  988.770 "
"05","05003","   ; Ashley ","  21,853 ","  925.349 "
"05","05005","Baxter ","  41,513 ","  554.283 "
"05","05007","   ; Benton ","  221,339 ","  847.357 "
"05","05009","Boone ","  36,903 ","  590.231 "
"05","05011","Bra_dley ","  11,508 ","  649.231 "
"05","05013","Calhoun ","  5,368 ","  628.581 "
"05","05015","Ca_rr#%&()oll ","  27,446 ","  630.087 "
"05","05017","Chicot ","  11,800 ","  644.304 "
"05","05019","Clark ","  22,995 ","  866.074 "
"05","05021","   ; #%&()Clay ","  16,083 ","  639.465 "
"05","05023","Cleburne ","  25,970 ","  553.692 "
"05","05025","Cleve#%&()land ","  8,689 ","  597.783 "
"05","05027","Columbia  ?     ","  24,552 ","  766.053 "
